,Minutes,Successful Shots,Total Shots,3 Points Succesful,Total 3 Points,Successful FT,Total FT,REB,AST,BLK,STL,PF,TO,PTS,Result
577,26,6,13,4,8,1,1,1,6,0,3,2,3,17,1
578,29,8,18,4,11,6,6,3,9,0,1,2,1,26,1
579,38,12,21,8,14,6,7,6,11,1,1,3,4,38,1
580,38,11,27,4,11,5,6,2,6,0,1,2,1,31,1
581,40,13,25,5,12,7,7,5,9,1,3,1,8,38,0
582,30,9,18,8,16,0,0,6,3,0,1,3,3,26,1
583,37,13,26,7,15,5,6,7,5,0,2,1,2,38,0
584,28,12,18,7,12,4,4,5,4,0,3,3,1,35,1
585,34,8,18,3,9,6,6,7,11,1,2,2,2,25,1
586,37,11,19,8,15,9,9,10,12,0,1,1,2,39,1
587,28,12,20,6,9,7,7,2,3,0,5,0,1,37,1
588,32,4,11,3,7,3,3,2,9,1,3,2,0,14,1
589,34,9,19,5,11,0,0,5,6,2,1,3,8,23,1
590,32,5,17,3,11,0,0,4,4,0,3,1,3,13,1
591,36,19,28,11,15,2,3,7,2,0,3,3,7,51,1
592,38,10,26,1,9,5,5,6,10,0,3,2,3,26,1
593,38,12,24,7,16,4,4,5,9,0,1,2,1,35,1
594,30,9,17,5,10,3,4,9,9,1,1,1,2,26,1
595,29,10,18,6,13,0,0,5,6,0,4,1,2,26,1
596,26,12,23,7,13,0,0,3,5,0,2,4,3,31,0
597,36,5,15,3,8,10,12,3,9,0,3,2,3,23,1
598,36,14,22,5,11,3,3,6,8,0,3,2,2,36,1
599,36,14,29,6,12,8,8,7,7,1,1,0,7,42,1
600,34,20,27,10,15,1,1,7,8,1,0,1,5,51,1
601,38,14,24,12,16,6,8,3,6,0,2,1,3,46,1
602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
603,37,12,25,5,15,4,5,4,4,1,1,2,1,33,1
604,34,6,20,1,10,5,5,6,4,0,1,2,4,18,0
605,37,14,24,7,13,6,6,13,3,0,4,3,5,41,1
606,32,4,12,3,9,1,2,3,10,0,3,2,3,12,1
607,29,13,23,7,14,1,2,3,4,0,2,2,3,34,1
608,35,12,24,7,16,4,4,3,6,0,0,4,1,35,1
609,31,10,16,4,9,3,4,5,5,0,2,1,1,27,1
610,28,12,20,8,13,2,2,6,4,0,0,2,2,34,1
611,34,12,26,6,12,1,1,9,10,0,2,2,1,31,1
