,Minutes,Successful Shots,Total Shots,3 Points Succesful,Total 3 Points,Successful FT,Total FT,REB,AST,BLK,STL,PF,TO,PTS,Result
0,36,7,12,0,1,0,0,2,7,0,4,2,2,14,0
1,39,5,9,2,3,0,0,2,4,0,1,5,3,12,0
2,28,3,6,1,2,0,0,5,9,0,2,4,1,7,1
3,22,1,5,0,1,3,4,1,3,0,0,6,0,5,0
4,31,4,8,1,2,0,2,4,6,0,0,4,5,9,0
5,30,2,8,1,2,3,4,2,5,0,1,1,2,8,1
6,21,3,7,0,2,0,0,1,4,0,1,2,3,6,0
7,3,0,0,0,0,0,0,0,0,1,0,1,0,0,1
8,26,6,9,2,2,0,0,4,2,1,2,5,1,14,0
9,41,6,10,2,6,0,1,5,7,0,0,2,3,14,0
10,35,4,10,1,4,4,4,0,7,0,4,3,6,13,0
11,46,3,9,2,3,4,5,6,8,1,1,6,1,12,1
12,35,6,12,2,4,4,4,4,6,0,3,5,4,18,1
13,34,5,16,1,4,0,0,7,5,2,1,3,6,11,0
14,36,5,15,1,5,2,2,4,8,0,0,0,1,13,0
15,20,2,5,1,2,2,2,2,4,0,3,2,2,7,1
16,41,4,14,2,6,0,0,4,6,2,2,2,1,10,0
17,32,4,8,1,3,2,2,5,2,1,2,3,4,11,0
18,46,6,12,0,2,1,1,3,3,0,1,4,3,13,0
19,36,9,14,2,4,2,2,4,2,0,4,5,5,22,0
20,30,6,13,1,4,1,2,4,4,0,3,4,4,14,1
21,27,3,9,0,3,0,0,3,1,0,1,0,0,6,0
22,38,5,10,3,4,6,6,2,4,1,4,4,4,19,0
23,36,5,13,1,4,3,4,4,4,1,4,5,4,14,0
24,25,4,11,0,2,0,0,4,3,0,4,5,1,8,0
25,46,9,17,5,9,4,4,8,4,0,3,4,2,27,0
26,41,6,15,2,6,0,0,7,8,0,0,2,4,14,0
27,47,6,13,3,5,2,2,10,7,0,2,5,2,17,0
28,27,4,10,3,4,2,2,3,4,0,3,4,1,13,1
29,11,0,4,0,1,0,1,2,0,0,1,3,1,0,1
30,23,6,10,0,1,3,3,3,3,0,0,3,4,15,0
31,29,4,10,1,2,0,0,1,1,0,1,4,3,9,0
32,40,10,13,6,6,0,0,5,6,0,3,3,2,26,0
33,30,7,11,0,2,2,2,1,4,0,2,6,1,16,1
34,34,5,10,1,2,1,2,3,4,0,1,3,2,12,1
35,36,8,15,1,2,4,5,7,5,1,1,4,2,21,0
36,33,3,10,3,5,0,0,4,4,0,0,1,4,9,0
37,48,7,17,1,4,3,3,6,4,1,6,6,4,18,0
38,43,9,18,5,8,3,3,10,6,1,1,4,5,26,1
39,49,6,17,3,8,0,0,3,6,0,1,2,3,15,0
40,48,11,21,3,7,7,8,2,7,0,4,4,2,32,1
41,40,10,25,4,9,1,1,5,2,0,0,4,1,25,0
42,45,10,22,3,10,4,5,9,6,0,3,3,1,27,0
43,41,7,13,1,3,0,0,5,8,0,3,4,5,15,0
44,41,8,15,2,4,4,4,1,9,0,3,3,1,22,0
45,36,4,10,2,2,4,4,4,5,0,1,2,5,14,0
46,30,6,18,2,5,0,0,2,4,0,1,1,0,14,0
47,27,1,6,0,2,4,4,0,3,0,0,2,3,6,0
48,27,9,15,3,7,2,3,1,4,0,2,3,3,23,0
49,48,9,20,1,5,6,6,2,9,0,2,4,3,25,0
50,46,11,22,7,11,7,8,10,13,0,3,4,6,36,1
51,44,5,21,1,10,0,0,10,8,0,1,5,4,11,0
52,40,10,15,1,4,3,3,6,15,0,3,2,3,24,1
53,39,4,9,3,6,2,2,6,7,0,3,1,10,13,0
54,45,13,18,1,3,5,5,9,3,0,1,3,5,32,1
55,38,8,22,1,8,0,1,6,5,0,0,2,2,17,0
56,42,11,19,2,5,6,6,7,13,1,2,1,2,30,0
57,48,11,25,3,6,2,3,5,4,0,1,4,5,27,1
58,43,7,17,3,8,1,1,2,8,0,2,5,3,18,0
59,32,3,12,1,2,2,2,3,7,0,2,2,5,9,0
60,48,11,19,5,9,4,4,5,11,0,2,1,7,31,0
61,48,8,23,4,8,5,6,5,4,0,0,1,3,25,0
62,34,5,13,2,4,0,0,3,6,0,1,2,4,12,0
63,33,6,15,2,7,1,1,5,3,0,2,5,4,15,0
64,42,13,21,5,8,4,4,6,10,1,4,1,2,35,1
65,34,11,19,5,9,2,2,5,9,0,1,4,0,29,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,25,4,10,1,3,0,0,4,6,1,0,2,2,9,0
69,34,6,15,2,5,0,0,4,8,0,4,4,1,14,0
70,40,12,19,4,6,2,2,5,11,0,4,3,7,30,1
71,37,6,16,3,5,2,2,7,6,0,2,1,7,17,0
72,40,8,15,2,2,0,0,4,7,0,1,5,3,18,1
73,34,6,16,1,4,2,3,2,6,0,0,5,4,15,0
74,29,7,21,1,5,0,0,4,10,0,1,1,2,15,1
75,44,10,23,5,11,4,6,8,12,2,3,4,5,29,1
76,33,10,21,3,6,4,4,1,4,0,2,2,2,27,0
77,44,12,22,3,5,0,0,8,14,0,7,4,4,27,1
78,41,10,19,5,10,4,4,9,4,0,3,5,3,29,0
79,35,9,16,3,6,4,6,7,7,0,1,2,5,25,1
80,41,5,15,1,4,6,6,5,6,0,2,4,2,17,0
81,48,13,25,4,6,12,12,9,8,1,2,0,2,42,1
82,39,9,16,3,6,4,4,2,11,1,0,4,5,25,1
83,27,7,9,1,3,1,3,2,6,0,2,2,2,16,1
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,33,7,17,1,4,5,5,1,6,0,2,5,5,20,1
87,29,3,12,0,3,4,4,4,6,0,2,4,2,10,0
88,36,12,21,2,4,8,8,5,4,0,3,2,5,34,1
89,45,11,20,1,1,2,3,6,8,1,2,4,2,25,1
90,31,7,18,2,5,1,2,3,6,0,5,2,5,17,0
91,30,3,14,0,3,1,2,2,4,1,3,5,2,7,0
92,30,7,14,2,3,5,5,5,4,0,2,6,3,21,1
93,42,9,21,3,6,8,9,5,8,0,1,4,4,29,0
94,24,5,10,1,3,2,2,3,2,2,1,3,0,13,0
95,41,8,21,1,6,0,0,7,5,0,3,3,2,17,0
96,36,8,19,0,2,5,5,4,6,0,4,6,1,21,0
97,30,8,13,4,5,6,6,2,4,0,1,5,3,26,0
98,28,6,10,2,3,6,7,3,7,0,3,5,1,20,1
99,40,13,22,3,6,3,3,3,5,1,1,2,5,32,0
100,34,4,10,1,3,0,0,1,7,0,4,4,4,9,0
101,46,14,20,4,7,7,7,1,6,1,2,5,5,39,0
102,42,8,16,3,5,2,2,6,4,0,2,2,6,21,0
103,11,0,2,0,0,0,0,1,3,0,0,2,2,0,0
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110,29,2,15,0,5,0,0,4,11,0,0,2,2,4,1
111,28,5,13,4,6,3,3,5,8,0,1,5,2,17,1
112,29,4,13,0,3,1,1,5,12,0,0,2,3,9,0
113,36,10,17,4,5,0,0,1,3,0,1,3,3,24,1
114,36,7,12,1,2,0,0,2,6,0,3,5,1,15,0
115,35,5,13,3,6,2,2,6,5,0,2,3,5,15,0
116,40,6,11,1,3,8,8,3,5,0,4,3,2,21,1
117,25,4,7,3,4,4,4,2,4,1,2,2,0,15,1
118,26,2,13,0,6,4,5,5,4,0,1,4,2,8,0
119,38,5,12,1,6,4,4,4,10,0,2,3,3,15,0
120,27,7,15,5,7,4,4,4,4,0,1,2,2,23,1
121,23,4,10,2,5,3,4,2,6,1,0,4,2,13,1
122,33,4,10,0,3,3,3,4,8,0,2,1,1,11,1
123,44,12,21,3,7,7,7,3,3,0,4,2,4,34,1
124,41,12,23,3,9,5,5,6,8,1,1,5,2,32,0
125,36,6,15,2,5,0,0,6,5,1,0,4,4,14,0
126,39,8,13,1,3,3,3,3,6,0,2,1,5,20,0
127,43,8,12,4,5,7,7,3,5,0,2,5,3,27,0
128,35,10,18,3,8,4,4,6,7,1,2,2,2,27,1
129,34,6,11,2,4,2,2,5,5,1,1,2,7,16,1
130,44,9,15,2,4,3,3,6,8,0,1,1,2,23,1
131,44,7,17,0,6,1,1,2,8,0,1,1,5,15,0
132,29,5,9,1,3,2,2,1,2,0,0,4,3,13,1
133,25,5,9,2,3,0,0,2,2,0,1,0,4,12,0
134,38,10,18,2,5,1,1,2,13,0,2,2,0,23,1
135,24,5,5,3,3,1,1,0,8,0,1,3,3,14,1
136,22,1,7,0,3,2,2,0,4,0,2,5,1,4,1
137,30,7,10,1,2,3,5,4,2,0,1,4,5,18,0
138,30,2,7,0,2,3,3,2,5,0,0,1,3,7,0
139,45,13,21,5,7,2,2,11,2,0,2,1,2,33,0
140,35,7,17,4,8,2,2,6,7,1,0,5,5,20,0
141,37,9,18,3,7,8,9,9,5,0,1,2,3,29,1
142,32,4,11,1,4,0,0,3,5,0,0,3,4,9,0
143,35,8,16,1,3,5,5,1,7,2,0,3,4,22,0
144,39,10,18,2,5,1,1,7,6,1,2,3,3,23,1
145,30,6,15,2,4,1,1,3,3,0,2,3,3,15,0
146,40,8,19,4,10,2,2,4,12,0,3,4,5,22,1
147,38,8,15,4,6,4,4,9,6,0,2,2,1,24,1
148,24,7,14,5,8,0,0,3,1,1,1,1,3,19,0
149,32,4,10,2,4,0,1,0,5,0,1,2,3,10,0
150,35,6,13,2,5,1,1,2,5,0,0,3,2,15,0
151,31,4,12,1,3,2,3,6,6,0,0,4,2,11,0
152,20,3,8,1,2,1,1,0,2,0,0,4,1,8,0
153,30,7,16,2,3,0,0,6,6,0,1,4,4,16,0
154,36,7,13,4,6,5,5,3,8,0,0,2,3,23,1
155,28,3,11,1,4,3,3,5,4,1,1,5,5,10,1
156,49,13,23,5,8,4,4,6,5,0,2,3,6,35,0
157,31,2,14,1,6,1,1,6,9,0,1,4,6,6,0
158,32,3,8,1,3,5,5,4,8,0,2,5,3,12,1
159,42,10,21,3,5,5,6,8,4,1,2,2,2,28,1
160,42,8,23,2,6,2,2,6,5,0,2,3,2,20,1
161,32,11,17,3,6,2,2,6,8,0,1,4,3,27,0
162,36,10,13,3,4,4,4,5,5,0,0,1,5,27,0
163,24,7,11,2,4,2,2,3,9,0,0,4,1,18,1
164,33,2,12,0,4,0,1,5,4,2,2,4,5,4,0
165,37,7,12,1,3,6,7,7,10,0,6,4,4,21,1
166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
167,30,9,15,3,8,0,0,4,4,0,0,3,5,21,0
168,23,4,8,2,3,0,0,2,2,0,1,5,2,10,0
169,30,7,11,3,4,3,3,3,8,0,0,2,2,20,0
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,29,5,15,2,6,0,0,2,3,0,0,2,3,12,0
179,36,8,18,2,7,0,0,6,5,0,3,3,5,18,0
180,38,12,19,6,8,2,3,6,7,0,4,0,1,32,1
181,27,6,16,2,7,1,1,2,6,0,2,4,4,15,0
182,26,1,7,0,3,1,2,3,8,1,1,1,0,3,1
183,38,10,14,2,5,7,8,5,12,0,3,4,3,29,1
184,29,4,14,3,8,0,0,2,9,0,4,1,5,11,0
185,43,7,9,1,2,1,2,7,10,0,2,3,3,16,0
186,36,13,17,6,9,4,7,7,7,2,0,3,1,36,1
187,34,5,14,3,6,1,1,0,5,0,2,4,2,14,1
188,32,3,10,1,4,2,2,7,5,0,1,2,2,9,1
189,38,3,10,0,2,2,2,3,8,2,2,2,2,8,0
190,28,4,13,3,5,0,0,2,4,0,0,2,4,11,0
191,40,13,21,6,9,4,4,2,6,0,2,5,2,36,0
192,33,3,6,3,5,2,2,3,6,1,0,3,3,11,1
193,10,3,7,1,3,2,2,0,2,0,2,1,1,9,1
194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,9,5,7,2,3,0,0,1,1,0,1,1,0,12,1
199,24,7,11,1,2,0,0,4,3,0,0,3,2,15,0
200,16,4,7,2,4,0,0,2,2,0,1,0,3,10,1
201,9,0,3,0,1,0,0,3,1,0,0,0,1,0,1
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,12,1,3,0,1,0,0,2,6,0,1,2,1,2,1
231,23,4,8,2,4,3,3,4,10,0,1,4,1,13,1
232,24,10,15,4,5,1,1,1,2,0,1,3,5,25,0
233,23,8,14,2,4,1,1,5,4,0,2,6,1,19,1
234,12,1,2,0,0,0,0,0,4,0,0,0,2,2,1
235,30,2,14,0,6,1,3,7,3,0,2,3,4,5,1
236,43,10,20,6,10,0,1,5,7,0,1,3,4,26,0
237,43,6,16,2,7,9,10,4,4,0,3,4,5,23,1
238,39,3,15,2,6,4,5,6,8,0,1,2,3,12,0
239,36,8,14,2,6,3,3,5,6,0,2,3,3,21,1
240,30,6,16,2,6,4,4,3,5,0,1,0,0,18,0
241,37,7,17,3,6,2,2,5,3,0,3,5,4,19,0
242,33,4,12,0,5,4,4,1,7,0,3,3,4,12,1
243,29,7,12,0,3,3,3,4,6,1,1,6,3,17,1
244,33,9,17,4,8,0,0,2,6,0,0,2,3,22,0
245,43,9,21,3,7,10,10,6,9,0,2,2,4,31,1
246,42,7,13,2,4,9,10,6,4,0,0,2,2,25,1
247,26,2,5,2,2,0,0,1,3,0,0,4,4,6,0
248,39,7,19,5,10,1,1,2,6,0,1,3,3,20,1
249,45,7,17,4,7,2,2,4,10,0,4,4,3,20,1
250,37,7,14,3,5,3,3,1,11,0,2,4,4,20,1
251,44,9,21,3,6,4,5,5,11,0,2,0,1,25,0
252,37,7,15,4,6,4,4,3,10,0,4,2,1,22,1
253,43,10,19,5,9,3,3,4,5,0,2,1,0,28,1
254,35,7,15,2,8,6,7,3,5,0,0,1,4,22,1
255,37,10,22,4,7,3,4,7,7,0,1,5,3,27,1
256,42,4,10,1,3,0,0,3,7,0,2,0,6,9,1
257,43,8,19,2,5,7,8,3,3,0,0,0,1,25,0
258,36,6,20,3,11,3,3,8,11,0,3,1,4,18,1
259,39,5,13,1,3,2,2,5,3,0,0,2,2,13,1
260,42,11,24,7,12,3,3,6,4,1,1,6,4,32,0
261,36,9,17,8,13,1,1,3,8,2,0,2,2,27,1
262,45,8,23,3,10,1,1,8,7,0,4,4,4,20,0
263,38,7,18,4,7,5,6,8,7,1,1,0,2,23,1
264,39,5,11,1,4,0,0,5,6,0,1,3,4,11,1
265,35,8,13,4,5,2,2,4,9,2,3,3,5,22,1
266,43,11,16,6,8,3,4,6,8,0,2,3,4,31,1
267,29,4,11,1,5,1,1,0,5,0,0,0,2,10,0
268,41,10,22,4,8,0,1,4,4,0,2,2,4,24,0
269,44,7,22,3,8,5,5,3,12,1,3,1,1,22,1
270,41,11,18,7,9,0,0,0,7,0,1,4,1,29,0
271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,38,5,17,2,8,8,10,3,7,0,4,2,1,20,1
274,37,9,14,6,8,4,4,3,6,0,0,4,2,28,1
275,42,11,27,3,14,6,6,3,7,0,4,1,2,31,1
276,37,7,18,3,7,4,4,1,1,0,0,1,2,21,0
277,37,8,19,5,9,5,5,2,7,0,1,2,2,26,0
278,26,7,12,1,3,2,2,1,5,0,1,1,2,17,1
279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
281,42,11,20,6,10,1,1,2,8,0,2,3,2,29,1
282,28,3,12,1,5,0,0,4,9,1,0,2,2,7,0
283,36,5,20,2,7,2,2,8,11,0,1,3,6,14,0
284,40,11,22,4,9,6,6,5,8,0,2,4,2,32,0
285,31,8,23,1,3,1,1,7,4,0,1,2,5,18,0
286,35,10,19,2,5,5,6,5,6,0,1,4,1,27,0
287,38,12,22,4,9,1,1,5,4,0,1,3,4,29,0
288,41,8,16,2,6,2,2,3,11,0,1,1,2,20,1
289,45,6,17,3,9,4,5,4,6,0,1,2,2,19,1
290,34,6,15,1,5,5,5,5,5,0,5,5,6,18,1
291,37,14,20,7,10,3,4,2,4,1,3,3,6,38,0
292,48,18,28,11,13,7,7,6,7,0,3,3,4,54,0
293,42,6,22,3,11,10,10,1,6,0,1,2,4,25,0
294,42,11,20,3,9,5,7,3,9,0,3,2,4,30,0
295,42,8,16,2,5,8,8,5,12,0,0,5,6,26,1
296,34,3,11,2,5,5,5,5,8,0,2,4,6,13,1
297,43,8,21,3,8,5,7,5,8,0,1,5,1,24,0
298,39,7,18,2,6,0,0,2,10,0,0,4,4,16,0
299,37,9,18,6,10,2,2,6,3,0,1,1,2,26,1
300,43,11,17,5,7,4,4,2,8,0,1,0,4,31,1
301,30,2,13,0,5,4,4,0,4,0,0,2,1,8,0
302,45,12,22,5,11,0,0,5,11,1,2,1,3,29,1
303,39,10,19,6,9,4,4,7,3,0,0,3,7,30,1
304,36,8,20,4,8,4,5,4,3,0,2,0,3,24,0
305,32,13,18,6,10,3,4,2,8,0,2,2,3,35,1
306,43,9,24,3,9,4,7,7,10,0,0,4,2,25,1
307,46,5,18,2,9,5,6,5,12,0,4,3,3,17,0
308,37,14,22,7,12,4,4,5,6,0,1,2,3,39,1
309,36,6,14,4,10,4,4,3,9,0,1,5,2,20,1
310,41,6,15,3,8,3,3,1,15,0,4,5,4,18,1
311,45,8,19,4,9,2,2,4,5,0,1,3,5,22,0
312,39,9,21,2,9,4,5,4,10,1,1,4,3,24,1
313,35,9,18,3,6,1,1,3,7,0,2,0,4,22,0
314,44,17,31,9,15,4,4,6,9,0,3,3,1,47,0
315,39,13,23,7,13,2,2,8,5,0,2,0,3,35,1
316,32,5,16,4,11,1,1,2,5,0,3,2,1,15,1
317,43,7,20,4,10,1,1,4,9,0,2,2,5,19,0
318,42,13,23,4,10,0,0,5,13,0,3,4,1,30,1
319,38,8,17,4,7,9,9,6,11,0,2,4,3,29,1
320,33,10,16,6,11,5,5,3,7,0,4,4,2,31,1
321,42,7,19,1,6,0,0,4,8,1,0,5,2,15,0
322,42,6,14,4,8,6,6,4,8,0,2,3,7,22,1
323,58,18,35,6,14,2,2,4,11,0,2,3,6,44,0
324,43,7,20,2,6,6,9,4,4,0,1,2,2,22,1
325,42,5,17,3,9,3,3,2,8,0,2,3,3,16,0
326,39,7,15,5,10,3,3,6,4,0,0,2,2,22,1
327,35,4,14,1,7,0,0,0,8,0,1,1,4,9,0
328,40,10,25,2,8,0,0,4,6,1,1,2,3,22,0
329,15,2,6,0,4,1,1,4,2,0,2,2,1,5,0
330,27,5,12,4,7,9,10,3,6,0,0,4,5,23,1
331,21,4,14,2,4,0,0,4,3,0,0,1,0,10,0
332,37,7,18,3,10,7,8,3,7,0,3,3,2,24,1
333,21,3,12,1,5,2,2,3,3,1,1,3,2,9,1
334,36,8,15,5,10,3,4,2,6,1,3,4,4,24,0
335,24,4,10,2,5,0,0,4,6,0,1,4,1,10,1
336,38,14,23,9,14,1,1,3,9,0,0,3,11,38,0
337,33,8,13,5,8,1,1,1,12,0,1,4,7,22,1
338,29,7,16,2,9,2,2,10,12,1,5,0,2,18,1
339,24,2,8,0,3,1,2,1,7,0,1,1,1,5,1
340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,34,7,18,4,10,4,4,2,5,0,3,1,3,22,0
342,29,7,10,2,4,9,9,2,8,0,1,4,2,25,1
343,43,8,22,4,8,2,3,5,9,0,1,4,2,22,1
344,39,7,20,0,5,1,2,3,11,0,1,1,0,15,1
345,33,7,15,4,7,4,4,6,8,0,3,4,5,22,1
346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,37,8,21,2,9,4,5,3,11,0,1,1,5,22,0
349,42,7,20,2,5,0,0,8,9,1,3,2,2,16,1
350,42,9,19,6,10,5,5,4,8,0,1,3,6,29,0
351,45,13,26,4,10,2,3,11,5,0,0,4,3,32,0
352,40,14,24,5,8,3,3,2,10,1,3,1,7,36,1
353,43,8,15,3,7,8,10,3,10,1,5,1,3,27,1
354,32,5,14,1,5,11,11,1,5,0,3,4,8,22,0
355,45,7,16,2,7,6,7,6,15,1,0,4,1,22,1
356,46,14,32,5,16,10,12,6,9,2,0,4,4,43,0
357,44,13,25,6,11,1,1,4,10,0,3,3,8,33,1
358,39,5,12,1,5,9,11,2,9,0,0,6,6,20,0
359,42,8,17,4,7,10,11,6,7,0,3,2,6,30,0
360,33,11,19,2,7,4,4,4,11,0,3,3,3,28,1
361,40,12,28,6,16,0,0,2,15,0,4,1,5,30,0
362,33,5,15,4,9,4,4,6,10,0,3,2,1,18,1
363,35,5,14,2,3,2,4,3,7,1,2,4,2,14,1
364,42,5,17,2,6,3,3,6,11,0,1,1,2,15,1
365,34,5,17,1,6,3,5,13,16,0,1,3,7,14,1
366,48,10,23,5,10,4,5,9,11,1,2,3,5,29,1
367,30,4,10,1,5,0,0,5,8,0,0,1,6,9,1
368,44,13,22,8,15,2,3,2,12,0,2,4,4,36,1
369,35,7,15,1,7,7,8,8,9,0,5,5,9,22,1
370,38,5,17,1,5,3,3,3,10,1,1,5,2,14,1
371,36,5,18,2,11,3,4,0,6,0,1,2,7,15,1
372,45,11,25,2,10,10,10,5,7,0,3,5,7,34,0
373,40,7,18,3,8,2,3,7,4,0,1,1,4,19,1
374,40,7,19,4,13,6,7,5,7,0,0,4,2,24,0
375,38,11,18,6,10,9,11,3,11,0,3,2,7,37,0
376,38,10,22,2,9,6,6,6,8,0,4,2,0,28,1
377,41,9,20,3,11,3,4,3,9,0,0,2,2,24,0
378,37,12,21,6,10,3,3,3,15,0,1,3,5,33,0
379,35,13,23,5,8,7,10,7,8,0,2,1,2,38,1
380,38,8,23,2,7,5,6,2,4,0,4,5,6,23,0
381,34,8,10,4,4,2,2,4,7,1,1,3,3,22,1
382,38,14,26,8,13,8,9,2,4,0,0,0,2,44,1
383,38,8,18,1,7,0,0,3,11,0,0,2,2,17,0
384,43,13,19,4,6,4,4,3,9,0,1,3,2,34,1
385,41,10,20,3,10,5,6,2,9,0,0,2,2,28,0
386,27,7,11,6,9,3,3,5,8,0,1,3,7,23,1
387,39,8,14,4,4,9,9,5,7,0,1,3,5,29,0
388,28,4,14,2,11,2,2,3,11,0,1,1,2,12,0
389,36,5,14,1,4,2,3,1,8,0,1,2,0,13,1
390,38,8,15,5,8,4,4,2,6,0,2,5,2,25,1
391,32,7,13,3,4,0,0,5,8,0,2,2,2,17,1
392,36,6,15,3,9,4,5,8,9,0,0,0,4,19,1
393,28,2,10,1,5,0,0,3,5,0,0,0,5,5,0
394,30,9,19,5,11,4,4,11,11,1,0,2,4,27,1
395,43,13,27,4,11,4,6,4,7,0,1,3,6,34,0
396,32,7,18,2,5,3,3,8,6,0,2,5,4,19,1
397,22,6,10,1,4,1,1,3,4,0,1,3,0,14,1
398,30,5,10,1,4,2,2,3,7,0,1,1,0,13,1
399,30,7,16,1,5,3,3,2,9,0,0,1,1,18,1
400,22,4,12,1,5,1,1,2,4,0,3,1,3,10,1
401,29,5,11,2,5,1,1,5,11,0,1,3,4,13,0
402,36,8,17,5,10,6,7,4,8,0,3,1,4,27,0
403,40,11,24,6,12,9,9,4,5,0,1,4,5,37,1
404,32,9,13,3,6,2,2,3,5,0,0,1,3,23,1
405,38,9,14,3,5,10,10,3,10,0,1,2,4,31,1
406,39,5,13,1,4,9,9,6,6,0,1,0,6,20,0
407,38,13,22,5,8,2,3,5,8,2,1,1,3,33,1
408,41,10,21,6,12,6,8,4,1,0,1,2,2,32,0
409,43,10,17,3,8,0,0,3,10,0,2,2,1,23,1
410,31,5,15,1,4,0,0,0,10,0,1,2,4,11,0
411,29,5,12,2,5,1,1,2,5,0,1,2,1,13,1
412,29,12,18,5,10,2,2,1,16,0,3,2,5,31,1
413,34,8,19,2,7,6,6,7,6,0,4,1,2,24,0
414,35,12,20,4,5,2,2,10,12,0,2,3,6,30,1
415,45,16,29,7,14,8,8,1,5,0,3,3,4,47,0
416,42,10,21,7,13,5,5,5,15,0,3,4,5,32,1
417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
418,45,6,16,2,6,0,0,3,7,0,3,1,7,14,1
419,31,9,17,1,7,5,5,1,8,0,2,4,2,24,0
